BTW_BUND 17;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Madgeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
251;Würzburg;9;226597;226597;226597;226597;166593;166593;166593;166593;9796;1364;3412;1322;156797;165229;163181;165271;;;;;42136;42136;37225;37225;5374;5374;6637;6637;16454;16454;19311;19311;80776;80776;74187;74187;5323;5323;8485;8485;4831;4831;6388;6388;;;4014;4014;;;946;946;;;2920;2920;;;1136;1136;1903;1903;1388;1388;0;0;0;0;;;495;495;;;;;;;;;;;29;29;;;20;20;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8432;;2090;
252;Augsburg-Stadt;9;208231;208231;208231;208231;133378;133378;133378;133378;6755;1354;2583;1112;126623;132024;130795;132266;;;;;33145;33145;29328;29328;6408;6408;7391;7391;14568;14568;13940;13940;58622;58622;57699;57699;4511;4511;6187;6187;6301;6301;7136;7136;;;3424;3424;;;841;841;2764;2764;1976;1976;;;1012;1012;0;0;1034;1034;;;0;0;;;700;700;;;;;;;;;162;162;84;84;142;142;43;43;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5401;;1471;
253;Augsburg-Land;9;244203;244203;244203;244203;176239;176239;176239;176239;7724;1600;3549;1229;168515;174639;172690;175010;;;;;30879;30879;30126;30126;5177;5177;5631;5631;12067;12067;12670;12670;105841;105841;93973;93973;3974;3974;8134;8134;7912;7912;9040;9040;;;3089;3089;;;1279;1279;0;0;3929;3929;;;1384;1384;2665;2665;1784;1784;;;0;0;;;1580;1580;;;;;;;;;;;42;42;;;29;29;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6124;;2320;
254;Donau-Ries;9;189974;189974;189974;189974;131055;131055;131055;131055;4283;1560;3308;1297;126772;129495;127747;129758;;;;;22858;22858;21616;21616;5797;5797;4260;4260;8153;8153;7773;7773;78524;78524;72065;72065;3170;3170;5824;5824;0;0;5433;5433;;;1938;1938;;;1503;1503;5371;5371;3964;3964;;;877;877;2899;2899;1312;1312;;;0;0;;;1144;1144;;;;;;;;;;;26;26;;;12;12;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2723;;2011;
255;Neu-Ulm;9;237651;237651;237651;237651;161614;161614;161614;161614;4706;1697;2738;1248;156908;159917;158876;160366;;;;;29420;29420;29023;29023;5546;5546;5958;5958;12505;12505;10417;10417;91961;91961;84598;84598;4377;4377;7485;7485;7521;7521;8986;8986;3085;3085;2990;2990;;;2444;2444;0;0;2985;2985;;;1187;1187;2493;2493;1732;1732;;;0;0;;;986;986;;;;;;;;;;;46;46;;;39;39;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;3009;;1490;
256;Oberallgäu;9;224278;224278;224278;224278;155635;155635;155635;155635;7250;1531;3069;1084;148385;154104;152566;154551;;;;;26722;26722;24776;24776;5530;5530;5574;5574;13011;13011;14329;14329;93494;93494;80902;80902;5501;5501;8749;8749;0;0;6695;6695;;;2431;2431;;;861;861;0;0;3918;3918;;;1201;1201;4127;4127;2089;2089;;;0;0;0;0;976;976;;;;;;;;;;;35;35;;;30;30;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5719;;1985;
257;Ostallgäu;9;244541;244541;244541;244541;167668;167668;167668;167668;5376;1456;2828;1328;162292;166212;164840;166340;;;;;25009;25009;24971;24971;4731;4731;5270;5270;10039;10039;11785;11785;99333;99333;91664;91664;2847;2847;7677;7677;6842;6842;7991;7991;;;2904;2904;;;1374;1374;5425;5425;4537;4537;;;1103;1103;3258;3258;2593;2593;;;0;0;4808;4808;2913;2913;;;;;;;;;;;30;30;;;28;28;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;3920;;1500;
9;Bayern;99;9472738;9472738;9472738;9472738;6633726;6633726;6633726;6633726;307892;62423;115533;52971;6325834;6571303;6518193;6580755;;;;;1443710;1443710;1314009;1314009;225218;225218;248920;248920;505800;505800;552818;552818;3544079;3544079;3243569;3243569;183259;183259;334158;334158;143859;146714;283570;283570;21123;131872;127934;127934;1771;59721;56737;56737;149707;192702;180649;180649;;;46937;46937;82073;84583;68365;68365;578;2260;0;0;22257;28430;57395;57395;;;;;;;;;448;448;1757;1757;1519;1519;1375;1375;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;0;0;;;;;;;433;1087;;;;;;;;;;;;;;;;;;;0;0;;;;19901;;62562;
;
258;Stuttgart I;8;191191;191191;191191;191191;152546;152546;152546;152546;4467;1298;2211;1046;148079;151248;150335;151500;63465;63465;56794;56794;25050;25050;31766;31766;5824;5824;9432;9432;41522;41522;26534;26534;;;;;3894;3894;12548;12548;4151;4151;6281;6281;3315;3315;4338;4338;;;506;506;;;645;645;0;0;860;860;697;697;528;528;0;0;0;0;;;;;;;;;;;;;0;0;103;103;161;161;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3169;;1165;
259;Stuttgart II;8;183064;183064;183064;183064;134355;134355;134355;134355;4748;1520;2915;1314;129607;132835;131440;133041;58222;58222;52323;52323;34690;34690;30469;30469;6633;6633;8902;8902;18505;18505;18341;18341;;;;;3594;3594;8920;8920;4497;4497;6047;6047;3064;3064;3460;3460;;;799;799;;;732;732;0;0;846;846;0;0;382;382;0;0;0;0;;;;;;;;;;;;;281;281;219;219;121;121;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3228;;1601;
260;Böblingen;8;241596;241596;241596;241596;186565;186565;186565;186565;11639;2356;4301;1846;174926;184209;182264;184719;99752;99752;86453;86453;43803;43803;37047;37047;7473;7473;8080;8080;17245;17245;19091;19091;;;;;6352;6352;13170;13170;0;0;9432;9432;;;4060;4060;;;1707;1707;;;1249;1249;;;1295;1295;;;518;518;;;0;0;;;;;;;;;;;;;301;301;162;162;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9283;;2455;
261;Esslingen;8;166975;166975;166975;166975;129700;129700;129700;129700;6127;1275;2937;1164;123573;128425;126763;128536;65825;65825;57598;57598;32379;32379;28205;28205;4788;4788;5862;5862;14236;14236;15483;15483;;;;;2474;2474;7859;7859;3871;3871;5835;5835;;;2871;2871;;;880;880;;;647;647;;;1110;1110;;;302;302;;;0;0;;;;;;;;;;;;;0;0;111;111;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4852;;1773;
262;Nürtingen;8;205756;205756;205756;205756;160053;160053;160053;160053;9388;1680;4797;1627;150665;158373;155256;158426;80710;80710;72844;72844;40013;40013;31499;31499;5205;5205;6533;6533;15685;15685;18435;18435;;;;;3997;3997;10880;10880;5055;5055;7599;7599;;;3602;3602;;;1181;1181;;;915;915;;;1233;1233;;;476;476;;;0;0;;;;;;;;;;;;;0;0;59;59;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7708;;3170;
263;Göppingen;8;179130;179130;179130;179130;132632;132632;132632;132632;6887;1921;3162;1529;125745;130711;129470;131103;64095;64095;60058;60058;31646;31646;28435;28435;4710;4710;5569;5569;14010;14010;13275;13275;;;;;4393;4393;7646;7646;6891;6891;8259;8259;;;2629;2629;;;1599;1599;;;530;530;;;1000;1000;;;403;403;;;0;0;;;;;;;;;;;;;0;0;67;67;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4966;;1633;
264;Waiblingen;8;221739;221739;221739;221739;171509;171509;171509;171509;8613;2110;4319;1650;162896;169399;167190;169859;87082;87082;77461;77461;38908;38908;34086;34086;6211;6211;7663;7663;17838;17838;17511;17511;;;;;6354;6354;13327;13327;6503;6503;9160;9160;;;3583;3583;;;1783;1783;;;564;564;;;1359;1359;0;0;577;577;;;0;0;;;;;;;;;;;;;0;0;116;116;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6503;;2669;
265;Ludwigsburg;8;215500;215500;215500;215500;167399;167399;167399;167399;10188;2298;3670;1570;157211;165101;163729;165829;83591;83591;73263;73263;34850;34850;35099;35099;7887;7887;7748;7748;22171;22171;19364;19364;;;;;5275;5275;11486;11486;0;0;8481;8481;;;3640;3640;;;1395;1395;3433;3433;1422;1422;;;1138;1138;;;572;572;;;0;0;;;;;;;;;;;;;4;4;121;121;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7890;;2100;
266;Neckar-Zaber;8;226751;226751;226751;226751;177134;177134;177134;177134;8904;2854;4666;1876;168230;174280;172468;175258;92693;92693;79372;79372;45962;45962;36849;36849;7697;7697;7271;7271;16474;16474;18551;18551;;;;;5404;5404;11799;11799;0;0;9703;9703;;;3810;3810;;;1921;1921;0;0;1051;1051;;;1350;1350;;;705;705;;;0;0;;;;;;;;;;;;;0;0;86;86;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6050;;2790;
267;Heilbronn;8;241656;241656;241656;241656;173772;173772;173772;173772;11389;2885;4958;2182;162383;170887;168814;171590;87777;87777;78544;78544;46231;46231;37933;37933;7554;7554;8138;8138;12771;12771;14662;14662;;;;;6178;6178;10927;10927;0;0;9271;9271;;;3789;3789;;;2672;2672;0;0;771;771;;;1250;1250;1469;1469;731;731;0;0;0;0;;;;;;;;;;;;;403;403;126;126;;;;;;;;;0;0;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8504;;2776;
268;Schwäbisch Hall – Hohenlohe;8;224384;224384;224384;224384;158389;158389;158389;158389;5808;2624;4484;2156;152581;155765;153905;156233;81427;81427;72835;72835;35728;35728;31230;31230;6626;6626;7535;7535;15569;15569;15641;15641;;;;;6128;6128;10355;10355;0;0;7799;7799;4226;4226;3371;3371;;;2119;2119;;;608;608;;;1143;1143;2877;2877;1188;1188;;;0;0;;;;;;;;;;;;;0;0;81;81;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3184;;2328;
269;Backnang – Schwäbisch Gmünd;8;175434;175434;175434;175434;130255;130255;130255;130255;6324;2468;3730;1647;123931;127787;126525;128608;70748;70748;62236;62236;31673;31673;26198;26198;5079;5079;5454;5454;10439;10439;11657;11657;;;;;3541;3541;7420;7420;0;0;7268;7268;;;2761;2761;2451;2451;1587;1587;;;433;433;;;1011;1011;;;424;424;;;0;0;;;;;;;;;;;;;0;0;76;76;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3856;;2083;
270;Aalen – Heidenheim;8;222959;222959;222959;222959;162969;162969;162969;162969;8024;2859;4472;2036;154945;160110;158497;160933;92293;92293;79409;79409;39464;39464;35861;35861;7929;7929;7483;7483;12402;12402;13532;13532;;;;;2857;2857;7267;7267;0;0;7255;7255;;;3118;3118;0;0;2166;2166;;;692;692;;;1010;1010;;;655;655;;;0;0;;;;;;;;;;;;;0;0;49;49;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5165;;2436;
271;Karlsruhe-Stadt;8;205735;205735;205735;205735;150050;150050;150050;150050;9444;1939;2753;1444;140606;148111;147297;148606;58452;58452;55791;55791;43866;43866;33785;33785;7254;7254;8933;8933;20337;20337;22263;22263;;;;;4714;4714;8978;8978;5983;5983;8334;8334;;;6009;6009;;;853;853;;;724;724;0;0;1111;1111;;;423;423;0;0;0;0;;;;;;;;;;;;;0;0;93;93;;;;;;;;;0;0;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7505;;1309;
272;Karlsruhe-Land;8;209733;209733;209733;209733;159992;159992;159992;159992;10188;2737;4177;1887;149804;157255;155815;158105;83848;83848;73805;73805;40735;40735;33416;33416;5896;5896;6461;6461;12298;12298;15175;15175;;;;;4490;4490;9553;9553;0;0;9473;9473;;;3761;3761;;;1301;1301;2537;2537;1205;1205;;;1278;1278;;;346;346;0;0;0;0;;;;;;;;;;;;;;;41;41;;;;;;;;;0;0;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7451;;2290;
273;Rastatt;8;207555;207555;207555;207555;148159;148159;148159;148159;7973;2513;3777;2202;140186;145646;144382;145957;77850;77850;71752;71752;33482;33482;30043;30043;5073;5073;6055;6055;12233;12233;13223;13223;;;;;4527;4527;8436;8436;7021;7021;8397;8397;;;2906;2906;;;1409;1409;0;0;751;751;;;1076;1076;;;280;280;;;0;0;;;;;;;;;;;;;;;54;54;;;;;;;;;0;0;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5460;;1575;
274;Heidelberg;8;215943;215943;215943;215943;168177;168177;168177;168177;3731;1858;2953;1771;164446;166319;165224;166406;68061;68061;62331;62331;50850;50850;38915;38915;6892;6892;9413;9413;20392;20392;24601;24601;;;;;5180;5180;11626;11626;8143;8143;10219;10219;3430;3430;4581;4581;;;1136;1136;776;776;766;766;;;1187;1187;;;405;405;722;722;0;0;;;;;;;;;;;;;0;0;44;44;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1873;;1182;
275;Mannheim;8;198525;198525;198525;198525;137796;137796;137796;137796;9749;2629;3869;2052;128047;135167;133927;135744;53819;53819;47598;47598;43736;43736;37367;37367;8951;8951;10227;10227;16544;16544;15047;15047;;;;;3772;3772;7427;7427;0;0;8148;8148;;;4287;4287;;;1585;1585;0;0;465;465;;;1378;1378;;;278;278;955;955;0;0;;;;;;;;;;;;;270;270;120;120;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7120;;1817;
276;Odenwald – Tauber;8;213424;213424;213424;213424;155585;155585;155585;155585;7445;2300;4241;2339;148140;153285;151344;153246;90624;90624;79516;79516;32696;32696;30269;30269;5158;5158;6379;6379;9019;9019;10984;10984;;;;;2807;2807;7956;7956;6280;6280;7994;7994;;;3049;3049;;;2023;2023;;;911;911;;;1199;1199;1556;1556;1030;1030;;;0;0;;;;;;;;;;;;;;;34;34;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5145;;1902;
277;Rhein-Neckar;8;197424;197424;197424;197424;147782;147782;147782;147782;9548;2228;3860;2035;138234;145554;143922;145747;72271;72271;63876;63876;37724;37724;32456;32456;5824;5824;6959;6959;12031;12031;13912;13912;;;;;3709;3709;9444;9444;6675;6675;8786;8786;;;3909;3909;;;1936;1936;0;0;932;932;;;1255;1255;;;421;421;0;0;0;0;;;;;;;;;;;;;;;36;36;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7320;;1825;
278;Bruchsal – Schwetzingen;8;195953;195953;195953;195953;145107;145107;145107;145107;8841;2468;4420;2072;136266;142639;140687;143035;73944;73944;66656;66656;35252;35252;30861;30861;5345;5345;6357;6357;9678;9678;11696;11696;;;;;3966;3966;8133;8133;6277;6277;8700;8700;;;3556;3556;;;1628;1628;1804;1804;1364;1364;0;0;1416;1416;;;278;278;0;0;0;0;;;;;;;;;;;;;;;42;42;;;;;;;;;0;0;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6373;;2348;
279;Pforzheim;8;219976;219976;219976;219976;159491;159491;159491;159491;9612;2294;4532;2095;149879;157197;154959;157396;77737;77737;70997;70997;36059;36059;31788;31788;6435;6435;7248;7248;12539;12539;14081;14081;;;;;9064;9064;11171;11171;8045;8045;11379;11379;;;3405;3405;;;2125;2125;;;1014;1014;0;0;1324;1324;;;389;389;;;0;0;;;;;;;;;;;;;;;38;38;;;;;;;;;0;0;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7318;;2437;
280;Calw;8;197679;197679;197679;197679;145151;145151;145151;145151;7235;2442;4596;1881;137916;142709;140555;143270;83514;83514;73263;73263;28892;28892;25285;25285;6094;6094;5948;5948;10036;10036;10946;10946;;;;;4072;4072;9194;9194;0;0;9013;9013;3038;3038;2642;2642;;;1689;1689;2270;2270;1017;1017;0;0;995;995;;;524;524;;;0;0;;;;;;;;;;;;;0;0;39;39;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4793;;2715;
281;Freiburg;8;219472;219472;219472;219472;168260;168260;168260;168260;9916;1726;3197;1681;158344;166534;165063;166579;58106;58106;59007;59007;50004;50004;36791;36791;8083;8083;13105;13105;34762;34762;33044;33044;;;;;3182;3182;8059;8059;4207;4207;6384;6384;;;4973;4973;;;784;784;;;732;732;0;0;1465;1465;;;642;642;0;0;0;0;;;;;;;;;;;;;0;0;77;77;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8190;;1516;
282;Lörrach – Müllheim;8;229316;229316;229316;229316;164341;164341;164341;164341;4039;2298;4653;2139;160302;162043;159688;162202;81205;81205;70888;70888;39902;39902;35328;35328;6305;6305;7856;7856;19468;19468;20593;20593;;;;;3856;3856;9159;9159;5819;5819;8267;8267;3747;3747;3594;3594;;;1412;1412;;;738;738;;;1393;1393;;;410;410;;;0;0;;;;;;;;;;;;;;;50;50;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1741;;2514;
283;Emmendingen – Lahr;8;215623;215623;215623;215623;153869;153869;153869;153869;5182;3254;4426;2600;148687;150615;149443;151269;78797;78797;69272;69272;39772;39772;32131;32131;7002;7002;7016;7016;17368;17368;18293;18293;;;;;2742;2742;7749;7749;0;0;6823;6823;;;3667;3667;;;1176;1176;;;710;710;0;0;1490;1490;3006;3006;1087;1087;;;0;0;;;;;;;;;;;;;;;29;29;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1928;;1826;
284;Offenburg;8;205119;205119;205119;205119;145259;145259;145259;145259;7494;2386;4058;2437;137765;142873;141201;142822;80083;80083;68973;68973;28862;28862;27448;27448;6083;6083;6762;6762;14111;14111;15311;15311;;;;;3063;3063;8140;8140;5563;5563;7743;7743;;;3028;3028;;;1318;1318;;;852;852;;;1244;1244;;;350;350;;;0;0;;;;;;;;;;;;;;;32;32;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5108;;1621;
285;Rottweil – Tuttlingen;8;199241;199241;199241;199241;143449;143449;143449;143449;4815;2519;4177;2281;138634;140930;139272;141168;81517;81517;72998;72998;25044;25044;24757;24757;5290;5290;5601;5601;10546;10546;10385;10385;;;;;4714;4714;9025;9025;7112;7112;8214;8214;;;2582;2582;;;2080;2080;1992;1992;1383;1383;;;968;968;2419;2419;1250;1250;;;0;0;;;;;;;;;;;;;;;29;29;;;;;;;;;;;0;0;;;;;0;0;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2296;;1896;
286;Schwarzwald-Baar;8;166191;166191;166191;166191;119181;119181;119181;119181;5980;1815;3313;1836;113201;117366;115868;117345;66505;66505;57912;57912;22211;22211;22414;22414;4144;4144;4860;4860;8984;8984;10613;10613;;;;;2946;2946;6933;6933;4603;4603;6697;6697;;;2260;2260;1963;1963;1737;1737;1845;1845;1084;1084;;;926;926;;;375;375;;;0;0;;;;;;;;;;;;;0;0;57;57;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4165;;1477;
287;Konstanz;8;202393;202393;202393;202393;147557;147557;147557;147557;7447;1907;3148;1741;140110;145650;144409;145816;75524;75524;63563;63563;27956;27956;29504;29504;5980;5980;7295;7295;19322;19322;18446;18446;;;;;5476;5476;10735;10735;5852;5852;8027;8027;;;3190;3190;;;1116;1116;;;649;649;;;1180;1180;;;661;661;0;0;0;0;;;;;;;;;;;;;;;43;43;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5540;;1407;
288;Waldshut;8;177313;177313;177313;177313;128808;128808;128808;128808;4061;2367;3552;1772;124747;126441;125256;127036;65009;65009;62610;62610;35359;35359;24130;24130;5613;5613;5482;5482;12768;12768;13987;13987;;;;;4184;4184;7307;7307;0;0;5979;5979;;;2335;2335;;;947;947;0;0;890;890;;;876;876;1814;1814;683;683;;;0;0;;;;;;;;;;;;;;;30;30;;;;;;;;;;;0;0;;;;;;;0;0;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1694;;1780;
